City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
430,Karonga,MW,71.87,clear sky,-9.9333,33.9333,Sumuka Inn
433,Cabedelo,BR,81.27,scattered clouds,-6.9811,-34.8339,Pousada Camboinha
434,Dayong,CN,78.64,overcast clouds,25.0209,118.2898,Haiyue Express Hotel
435,Port-Gentil,GA,76.96,overcast clouds,-0.7193,8.7815,Fengshui Residence
436,Primorsk,UA,77.04,broken clouds,46.7348,36.3443,Relax
437,Colares,PT,82.08,clear sky,38.7992,-9.4469,Arribas Sintra Hotel
439,Kavaratti,IN,81.23,overcast clouds,10.5669,72.642,Green leaf
445,Avera,US,84.54,overcast clouds,33.194,-82.5271,
448,Moerai,PF,74.53,light rain,-22.4333,-151.3333,Le Manotel
449,Makakilo City,US,80.19,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
451,Buchanan,LR,76.19,overcast clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
452,Chenghai,CN,82.31,scattered clouds,23.4632,116.768,Guangdong Hotel
453,Markala,ML,82.15,overcast clouds,13.7021,-6.0659,Hôtel Igor
456,Marsabit,KE,70.21,overcast clouds,2.3284,37.9899,Chicho Hotel
458,Macieira De Cambra,PT,74.19,clear sky,40.8594,-8.3734,Solar das Laranjeiras
461,Kayes,ML,77.68,light rain,14.0,-11.0,
462,Trat,TH,82.87,overcast clouds,12.5,102.5,สวนหนิง-อัศ
464,Samarai,PG,75.81,overcast clouds,-10.6167,150.6667,Nuli Sapi
467,Bhatapara,IN,80.24,light rain,21.7333,81.9333,THE BABBU PARADISE
473,Acarau,BR,83.37,overcast clouds,-2.8856,-40.12,castelo pizzaria
474,Telimele,GN,72.1,light rain,10.9167,-13.3333,
475,Myingyan,MM,79.83,scattered clouds,21.4667,95.3833,Yamethin
477,Dryden,CA,79.09,scattered clouds,49.7833,-92.7503,"Holiday Inn Express Dryden, an IHG Hotel"
478,Kulhudhuffushi,MV,80.87,few clouds,6.6221,73.07,Haajy Guest House 1
480,Ratnagiri,IN,78.03,scattered clouds,16.9833,73.3,Hotel Landmark
481,Bentiu,SS,73.24,light rain,9.2333,29.8333,Mandela hôtel
483,Kitimat,CA,76.91,clear sky,54.0524,-128.6534,Kingfish Westcoast Adventures Ltd. Kitimat Estuary Lodge B&B
484,Katobu,ID,71.56,few clouds,-4.9408,122.5276,La Ode Husein
487,Pocone,BR,74.05,heavy intensity rain,-16.2567,-56.6228,Hotel e Churrascaria Pantaneira
490,Bintulu,MY,77.41,scattered clouds,3.1667,113.0333,900 Boutique INN
491,Teluknaga,ID,81.63,few clouds,-6.0989,106.6381,Kost Mewah (Mepet Sawah)
494,Ponta Delgada,PT,74.12,broken clouds,37.7333,-25.6667,Vila Nova Hotel
497,Ardakan,IR,83.03,clear sky,32.31,54.0175,Ardakan Hotel
498,Nabire,ID,75.07,overcast clouds,-3.3667,135.4833,Hotel Nusantara I
502,Marabba,SD,80.01,overcast clouds,12.35,32.1833,
508,Elko,US,74.73,overcast clouds,41.0002,-115.5012,
511,Goedereede,NL,73.98,clear sky,51.8175,3.9806,Hotel-Pension Ouddorp
512,Luohe,CN,84.49,overcast clouds,33.5717,114.0353,BNB 29-Tunxi Old Street Branch
514,Pontianak,ID,78.78,overcast clouds,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
516,Nampula,MZ,71.55,clear sky,-15.1165,39.2666,Ruby Backpackers
520,Hirado,JP,76.39,scattered clouds,33.3597,129.5531,Samson Hotel
