City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
145,Port Blair,IN,2022-08-18 04:57:23,11.6667,92.75,86.04,74,40,17.27
146,Catio,GW,2022-08-18 04:57:23,11.2833,-15.25,75.61,91,100,7.58
147,Pevek,RU,2022-08-18 04:57:24,69.7008,170.3133,43.0,65,18,5.86
148,Lagoa,PT,2022-08-18 04:57:24,39.05,-27.9833,69.71,75,100,9.55
149,Hithadhoo,MV,2022-08-18 04:57:25,-0.6,73.0833,81.95,75,100,12.64
150,Tadine,NC,2022-08-18 04:57:25,-21.55,167.8833,64.83,86,100,6.22
151,Oranjemund,NA,2022-08-18 04:55:14,-28.55,16.4333,53.04,90,12,9.8
152,Eregli,TR,2022-08-18 04:57:26,37.5133,34.0467,75.92,31,0,2.53
153,Teya,RU,2022-08-18 04:57:27,60.3778,92.6267,59.58,75,99,5.97
154,Guanare,VE,2022-08-18 04:57:27,9.0418,-69.7421,72.81,88,0,3.47
155,Lebu,CL,2022-08-18 04:57:28,-37.6167,-73.65,45.27,81,71,5.88
156,Rovaniemi,FI,2022-08-18 04:57:29,66.5,25.7167,53.01,93,75,10.36
157,Castro,BR,2022-08-18 04:57:29,-24.7911,-50.0119,60.87,83,100,11.25
158,Weligama,LK,2022-08-18 04:57:30,5.9667,80.4167,84.13,67,82,11.5
159,Ostrovnoy,RU,2022-08-18 04:57:31,68.0531,39.5131,69.03,68,20,22.37
160,Tura,IN,2022-08-18 04:57:31,25.5198,90.2201,91.69,54,99,3.4
161,Mitsamiouli,KM,2022-08-18 04:57:32,-11.3847,43.2844,75.38,77,31,8.95
162,Georgetown,MY,2022-08-18 04:54:24,5.4112,100.3354,88.9,69,40,16.11
163,Kaitangata,NZ,2022-08-18 04:57:33,-46.2817,169.8464,48.7,98,100,4.92
164,Mehamn,NO,2022-08-18 04:57:33,71.0357,27.8492,48.15,87,75,10.36
165,Sakakah,SA,2022-08-18 04:57:34,29.9697,40.2064,90.97,19,50,3.87
166,Ajdabiya,LY,2022-08-18 04:57:35,30.7554,20.2263,78.19,71,0,5.21
167,Osa,RU,2022-08-18 04:57:35,57.2829,55.4567,60.08,59,0,7.96
168,Dunedin,NZ,2022-08-18 04:57:36,-45.8742,170.5036,49.57,95,99,6.55
169,Quthing,LS,2022-08-18 04:57:36,-30.4,27.7003,43.39,43,100,3.67
170,Bosaso,SO,2022-08-18 04:57:37,11.2842,49.1816,93.18,38,0,23.02
171,Bambous Virieux,MU,2022-08-18 04:57:38,-20.3428,57.7575,72.21,88,40,3.44
172,Chai Badan,TH,2022-08-18 04:57:38,15.2,101.1333,88.39,62,36,9.55
173,Severo-Kurilsk,RU,2022-08-18 04:53:59,50.6789,156.125,56.53,90,67,14.54
174,Prince Albert,CA,2022-08-18 04:57:39,53.2001,-105.7677,62.55,94,20,0.0
175,Tiznit,MA,2022-08-18 04:57:40,29.5833,-9.5,69.01,58,0,1.54
176,Constitucion,CL,2022-08-18 04:57:40,-35.3333,-72.4167,43.7,81,0,9.04
177,Rio Verde De Mato Grosso,BR,2022-08-18 04:56:04,-18.9181,-54.8442,79.72,41,52,8.37
178,Bomi,SL,2022-08-18 04:57:41,7.2461,-11.5258,71.92,94,100,3.02
179,Curup,ID,2022-08-18 04:57:42,-3.4667,102.5333,84.69,50,46,4.63
180,Pingyin,CN,2022-08-18 04:57:43,36.2831,116.4453,89.2,71,99,15.84
181,Rocha,UY,2022-08-18 04:57:43,-34.4833,-54.3333,47.35,66,97,12.19
182,Nouadhibou,MR,2022-08-18 04:55:14,20.931,-17.0347,70.34,85,6,17.63
183,Sao Filipe,CV,2022-08-18 04:57:44,14.8961,-24.4956,77.83,78,82,7.45
184,Zhigansk,RU,2022-08-18 04:57:45,66.7697,123.3711,57.61,80,100,1.63
