City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
314,Lagoa,PT,39.05,-27.9833,70.95,62,49,5.3,scattered clouds
315,Movila,RO,44.55,27.7,80.51,69,43,6.64,scattered clouds
316,Hambantota,LK,6.1241,81.1185,79.14,94,20,10.36,few clouds
317,Bengkulu,ID,-3.8004,102.2655,75.13,89,34,6.78,scattered clouds
318,Dingle,PH,10.9995,122.6711,74.89,91,100,0.94,heavy intensity rain
319,Bosaso,SO,11.2842,49.1816,90.09,48,27,3.0,scattered clouds
320,Kaeo,NZ,-35.1,173.7833,63.32,98,100,15.79,light rain
321,Yunyang,CN,33.4474,112.7142,86.16,62,100,4.9,overcast clouds
322,Manokwari,ID,-0.8667,134.0833,77.09,81,14,4.27,few clouds
323,Broome,US,42.2506,-75.833,82.02,59,0,10.36,clear sky
324,Sambava,MG,-14.2667,50.1667,70.18,89,13,9.33,light rain
325,Rutul,RU,41.5357,47.4239,67.35,35,38,5.59,scattered clouds
326,Paranhos,BR,-23.8928,-55.4311,63.5,58,98,12.55,overcast clouds
327,Naze,JP,28.3667,129.4833,81.52,84,92,13.65,overcast clouds
328,Hami,CN,42.8,93.45,74.68,26,0,2.86,clear sky
329,Faanui,PF,-16.4833,-151.75,78.73,76,69,22.12,broken clouds
330,Cidreira,BR,-30.1811,-50.2056,53.53,69,100,17.74,overcast clouds
331,Vardo,NO,70.3705,31.1107,51.78,82,75,5.75,broken clouds
332,Santa Cruz De Tenerife,ES,28.4682,-16.2546,79.88,81,40,18.41,scattered clouds
333,Port Hardy,CA,50.6996,-127.4199,59.18,100,100,2.3,fog
334,Sehithwa,BW,-20.4667,22.7167,70.63,10,68,2.04,broken clouds
335,Oyon,PE,-10.6681,-76.7731,62.74,20,14,4.43,few clouds
336,Banda Aceh,ID,5.5577,95.3222,79.7,83,53,7.76,broken clouds
337,Durban,ZA,-29.8579,31.0292,66.02,77,66,3.0,broken clouds
338,Lompoc,US,34.6391,-120.4579,84.69,68,0,13.8,clear sky
339,Teya,RU,60.3778,92.6267,48.0,97,97,2.33,overcast clouds
340,Abu Samrah,SY,35.3029,37.1841,84.47,36,0,10.65,clear sky
341,Simplicio Mendes,BR,-7.8539,-41.9103,93.02,25,0,9.44,clear sky
342,Hirara,JP,24.8,125.2833,85.24,77,66,21.63,broken clouds
343,Pringsewu,ID,-5.3582,104.9744,72.12,96,9,1.43,clear sky
344,Rawalpindi,PK,33.6007,73.0679,83.23,77,20,2.15,few clouds
345,Mtama,TZ,-10.3,39.3667,70.09,93,16,5.75,few clouds
346,Karratha,AU,-20.7377,116.8463,71.02,28,31,17.36,scattered clouds
347,Kapoeta,SS,4.7717,33.5903,79.32,50,44,1.86,scattered clouds
348,Maldonado,UY,-34.6667,-54.9167,49.39,61,8,21.0,clear sky
349,Nyagan,RU,62.1406,65.3936,51.49,81,100,3.94,overcast clouds
350,Kimparana,ML,12.8347,-4.9244,85.03,60,82,10.51,broken clouds
351,Bereda,ES,43.2686,-7.5406,68.41,64,1,5.84,clear sky
352,Gimli,CA,50.6336,-96.9907,65.8,91,100,6.44,overcast clouds
353,Saurimo,AO,-9.6608,20.3916,75.33,21,34,1.16,scattered clouds
354,Touros,BR,-5.1989,-35.4608,82.11,62,22,19.73,few clouds
355,Mazamari,PE,-11.3258,-74.5308,91.27,42,65,4.23,broken clouds
356,San Cristobal,VE,7.7669,-72.225,84.38,33,0,8.72,clear sky
357,Katsuura,JP,35.1333,140.3,76.84,88,0,11.34,clear sky
358,Mnogovershinnyy,RU,53.9353,139.9242,55.36,91,64,4.7,broken clouds
359,Eydhafushi,MV,5.1033,73.0708,80.55,77,29,5.17,scattered clouds
